magnitude,trial,task,auc,w_mb,w_me,w_k,w_r,c_w_psi,c_w_q,c_w_m,c_w_b
0.1,1,integrated_vs_low,1.0,0.33719972249759006,0.2181159758027898,0.19163671352560474,0.25075285646158574,0.4280368581510842,0.21744174280195852,0.15859666579778864,0.16361678229812385
0.1,2,wake_vs_deep_sleep,1.0,0.34545679420021264,0.2196950225622335,0.21566709065019657,0.2624304009728475,0.4851713241790672,0.21573786558791452,0.1706411842531393,0.17337344586590853
0.1,2,wake_vs_reflex,1.0,0.34545679420021264,0.2196950225622335,0.21566709065019657,0.2624304009728475,0.4851713241790672,0.21573786558791452,0.1706411842531393,0.17337344586590853
0.1,2,wake_vs_anxiety,1.0,0.34545679420021264,0.2196950225622335,0.21566709065019657,0.2624304009728475,0.4851713241790672,0.21573786558791452,0.1706411842531393,0.17337344586590853
0.1,2,wake_vs_nonwake,1.0,0.34545679420021264,0.2196950225622335,0.21566709065019657,0.2624304009728475,0.4851713241790672,0.21573786558791452,0.1706411842531393,0.17337344586590853
0.1,2,integrated_vs_low,1.0,0.34545679420021264,0.2196950225622335,0.21566709065019657,0.2624304009728475,0.4851713241790672,0.21573786558791452,0.1706411842531393,0.17337344586590853
0.1,3,wake_vs_deep_sleep,1.0,0.36904087024776916,0.20646645052671042,0.1949463091549484,0.22972333340307577,0.4722110650214124,0.19049842063691458,0.1848516471181485,0.17067494070020464
0.1,3,wake_vs_reflex,1.0,0.36904087024776916,0.20646645052671042,0.1949463091549484,0.22972333340307577,0.4722110650214124,0.19049842063691458,0.1848516471181485,0.17067494070020464
0.1,3,wake_vs_anxiety,1.0,0.36904087024776916,0.20646645052671042,0.1949463091549484,0.22972333340307577,0.4722110650214124,0.19049842063691458,0.1848516471181485,0.17067494070020464
0.1,3,wake_vs_nonwake,1.0,0.36904087024776916,0.20646645052671042,0.1949463091549484,0.22972333340307577,0.4722110650214124,0.19049842063691458,0.1848516471181485,0.17067494070020464
0.1,3,integrated_vs_low,1.0,0.36904087024776916,0.20646645052671042,0.1949463091549484,0.22972333340307577,0.4722110650214124,0.19049842063691458,0.1848516471181485,0.17067494070020464
0.1,4,wake_vs_deep_sleep,1.0,0.323593055268804,0.21324450688499624,0.18613137266497978,0.23396341540788695,0.45894445123687594,0.21498248163349862,0.1596787786342955,0.1731716522244034
0.1,4,wake_vs_reflex,1.0,0.323593055268804,0.21324450688499624,0.18613137266497978,0.23396341540788695,0.45894445123687594,0.21498248163349862,0.1596787786342955,0.1731716522244034
0.1,4,wake_vs_anxiety,1.0,0.323593055268804,0.21324450688499624,0.18613137266497978,0.23396341540788695,0.45894445123687594,0.21498248163349862,0.1596787786342955,0.1731716522244034
0.1,4,wake_vs_nonwake,1.0,0.323593055268804,0.21324450688499624,0.18613137266497978,0.23396341540788695,0.45894445123687594,0.21498248163349862,0.1596787786342955,0.1731716522244034
0.1,4,integrated_vs_low,1.0,0.323593055268804,0.21324450688499624,0.18613137266497978,0.23396341540788695,0.45894445123687594,0.21498248163349862,0.1596787786342955,0.1731716522244034
