t,scenario,C_base,S,C_hum,K_ck,M_r,P_u,R_a,M_medio_agentes
15.0,compartilhado,0.6045781284434593,0.3333333333333333,0.6879114617767926,4.5397868702434395e-05,0.0,1.0,0.0,0.8776463076927105
15.100000000000001,compartilhado,0.6123590321172496,0.3333333333333333,0.695692365450583,4.5397868702434395e-05,0.0,1.0,0.0,0.8825237327090617
15.200000000000001,compartilhado,0.6203613676170683,0.3333333333333333,0.7036947009504017,4.5397868702434395e-05,0.0,1.0,0.0,0.8874142560293719
15.3,compartilhado,0.6254970029943734,0.3333333333333333,0.7088303363277068,4.5397868702434395e-05,0.0,1.0,0.0,0.8923045736984667
15.4,compartilhado,0.6358614234362077,0.3333333333333333,0.719194756769541,4.5397868702434395e-05,0.0,1.0,0.0,0.8972063979451409
15.5,compartilhado,0.6440199508573681,0.3333333333333333,0.7273532841907014,4.5397868702434395e-05,0.0,1.0,0.0,0.9021005448053177
15.600000000000001,compartilhado,0.6447927471832167,0.3333333333333333,0.72812608051655,4.5397868702434395e-05,0.0,1.0,0.0,0.9069709656204925
15.700000000000001,compartilhado,0.6393003928123592,0.3333333333333333,0.7226337261456925,4.5397868702434395e-05,0.0,1.0,0.0,0.9117796869158649
15.8,compartilhado,0.6305751063163565,0.3333333333333333,0.7139084396496899,4.5397868702434395e-05,0.0,1.0,0.0,0.9165338916647057
15.9,compartilhado,0.6262052578585908,0.3333333333333333,0.7095385911919242,4.5397868702434395e-05,0.0,1.0,0.0,0.9212572192908622
16.0,compartilhado,0.627454726324352,0.3333333333333333,0.7107880596576853,4.5397868702434395e-05,0.0,1.0,0.0,0.9259551821544907
16.1,compartilhado,0.6280581004293619,0.3333333333333333,0.7113914337626953,4.5397868702434395e-05,0.0,1.0,0.0,0.9306593380636347
16.2,compartilhado,0.6270104310565847,0.3333333333333333,0.7103437643899181,4.5397868702434395e-05,0.0,1.0,0.0,0.9353158113677433
16.3,compartilhado,0.6234555323405138,0.3333333333333333,0.7067888656738471,4.5397868702434395e-05,0.0,1.0,0.0,0.9399217782044023
16.400000000000002,compartilhado,0.6170792467636319,0.3333333333333333,0.7004125800969653,4.5397868702434395e-05,0.0,1.0,0.0,0.9444630350471799
