trial,scenario,frac_arriscada,sucesso_coordenacao,payoff_medio,prob_media_arriscada,P_u_na_decisao,R_a_na_decisao,K_ck_na_decisao,M_medio_na_decisao
77,compartilhado,0.0,False,1.0,0.05140240760976255,1.0,0.0,4.5397868702434395e-05,1.458369080562716
78,compartilhado,0.25,False,0.75,0.04885055983374555,1.0,0.0,4.5397868702434395e-05,1.4530332016153307
79,compartilhado,0.0,False,1.0,0.04903459500199234,1.0,0.0,4.5397868702434395e-05,1.4532397015077914
0,ratificado,0.75,True,1.75,0.8250371696161289,1.0,1.0,0.9999999999999065,1.9052730555526798
1,ratificado,1.0,True,2.0,0.7951923231807844,1.0,1.0,0.9999999999999065,1.8857467282000746
2,ratificado,0.5,False,0.5,0.8005380742207493,1.0,1.0,0.9999999999999065,1.889134804742322
3,ratificado,0.75,True,1.75,0.7849766613776932,1.0,1.0,0.9999999999999065,1.87951441491999
4,ratificado,0.375,False,0.625,0.7286240679201268,1.0,1.0,0.9999999999999065,1.8489755082735329
5,ratificado,0.625,True,1.625,0.8015265256938369,1.0,1.0,0.9999999999999065,1.8898067923037245
6,ratificado,0.75,True,1.75,0.758847442656325,1.0,1.0,0.9999999999999065,1.864708107679618
7,ratificado,0.875,True,1.875,0.7885132699895228,1.0,1.0,0.9999999999999065,1.8817094193738013
8,ratificado,0.75,True,1.75,0.7721718266263837,1.0,1.0,0.9999999999999065,1.872079462328671
9,ratificado,0.875,True,1.875,0.7121779253229121,1.0,1.0,0.9999999999999065,1.8407358878926507
10,ratificado,0.875,True,1.875,0.8007713510670513,1.0,1.0,0.9999999999999065,1.8891905625411933
11,ratificado,1.0,True,2.0,0.8140118501677007,1.0,1.0,0.9999999999999065,1.8977160395409576
12,ratificado,0.625,True,1.625,0.7844122593655443,1.0,1.0,0.9999999999999065,1.8792573465035514
13,ratificado,1.0,True,2.0,0.7305980740655614,1.0,1.0,0.9999999999999065,1.8498014410659138
14,ratificado,0.875,True,1.875,0.8135932282801488,1.0,1.0,0.9999999999999065,1.8974183812877705
15,ratificado,0.625,True,1.625,0.738279905821175,1.0,1.0,0.9999999999999065,1.853823712973764
16,ratificado,0.625,True,1.625,0.7594296904738029,1.0,1.0,0.9999999999999065,1.8653188362312856
17,ratificado,0.625,True,1.625,0.7562102430411127,1.0,1.0,0.9999999999999065,1.8632421198537485
18,ratificado,1.0,True,2.0,0.7822608301192167,1.0,1.0,0.9999999999999065,1.8779546134315028
19,ratificado,0.875,True,1.875,0.7119378762548253,1.0,1.0,0.9999999999999065,1.840553006914223
20,ratificado,0.75,True,1.75,0.7579551705926584,1.0,1.0,0.9999999999999065,1.8642412850562415
21,ratificado,1.0,True,2.0,0.7786016428030054,1.0,1.0,0.9999999999999065,1.8758487438752303
22,ratificado,0.625,True,1.625,0.7626824555055469,1.0,1.0,0.9999999999999065,1.8668166087165994
23,ratificado,0.75,True,1.75,0.7538828259425814,1.0,1.0,0.9999999999999065,1.861980027443638
24,ratificado,0.625,True,1.625,0.7984142953164064,1.0,1.0,0.9999999999999065,1.8876894616366262
25,ratificado,0.75,True,1.75,0.7253985145578241,1.0,1.0,0.9999999999999065,1.8471943019800792
26,ratificado,0.75,True,1.75,0.7745874176008478,1.0,1.0,0.9999999999999065,1.8736190683542708
27,ratificado,0.625,True,1.625,0.7238082937190795,1.0,1.0,0.9999999999999065,1.846357965099235
