w_mb,w_me,w_k,w_r,c_w_psi,c_w_q,c_w_m,c_w_b,auc
0.5126894520956514,0.17603547981094747,0.2212415209645101,0.3270512047411784,0.8728336050350125,0.39383123257264985,0.0979976034658878,0.2641512590776498,1.0
0.524988476554688,0.1385971445252195,0.04954790994568841,0.02047348014285988,0.6996088147762607,0.19587989672676237,0.3350836576282749,0.16739044422971508,1.0
0.6845418853516881,0.16463040087762396,0.3174728602239891,0.04240963615591603,0.4999155391239875,0.32082391479428973,0.3143985668547622,0.2961299126222754,1.0
0.025879509040821955,0.1490809365226937,0.01947938892554051,0.054641145557279,0.6077750658007357,0.2853032785246793,0.263065032135553,0.3115643573000386,1.0
0.5176020279335569,0.32034863684265286,0.019585483929311698,0.11726757522064929,0.5597079960377213,0.3432501218499293,0.0015300424794841018,0.18526656316188592,1.0
0.474101179555078,0.011842915651445286,0.16054222302135518,0.4478174406918484,0.6044515279702729,0.09506334534423894,0.2899455840748503,0.12529131242742514,1.0
0.5973412698008416,0.11957746044756222,0.2361281003532596,0.19847003387391704,0.24734254567956032,0.3546230248687477,0.06378185185942706,0.03053217284487471,1.0
0.23934885698196223,0.28705565905662705,0.3229726423905127,0.4993716850333824,0.26672585131004845,0.16317678045251288,0.04651923453007294,0.20695389466429207,1.0
0.698306026084042,0.2803524040482634,0.2380851361653487,0.196184546460897,0.8237688842569993,0.1987666384521398,0.045684750526440915,0.13153624675168804,1.0
0.04701666819343683,0.08079161507551263,0.007067512399964882,0.2266399582500817,0.5710862384566174,0.1373169849515631,0.14292980231179422,0.3453153382240473,1.0
0.5263741851024408,0.2163426547779805,0.1138163500447301,0.4484983993864976,0.21158740519259353,0.13013709220667083,0.30908203690380254,0.19063513990262604,1.0
0.5196225645925836,0.23629791766550645,0.2613756836037981,0.14969164575741278,0.21723485546399662,0.1289969388674661,0.05285013178836364,0.3147531715046907,1.0
0.19827285327507985,0.22459575776575386,0.3167897700565496,0.3919120546878568,0.3945476327257736,0.19050292343469027,0.33819859463790847,0.24285509171244865,1.0
0.5702469101825178,0.36102158768769277,0.3150359344917357,0.09258967247678379,0.505953660363815,0.04075766292581795,0.22199352303175948,0.34392579414761193,1.0
0.3589124450100779,0.1731889971471069,0.014337100567265271,0.47988726116461017,0.09270241571714291,0.016431637321938777,0.08366264791167909,0.023590956210617672,1.0
0.3185824896882336,0.20643512050284496,0.12502797961143358,0.02548024128744303,0.10044033142430403,0.15380175119597125,0.020579673281022285,0.2513483012195688,1.0
0.14491437906736837,0.12082862751345541,0.157650310871239,0.20830481653457394,0.001494636907320479,0.04482814839947902,0.2933399516718986,0.0004439025042869282,1.0
0.35571714906901253,0.19580080260288324,0.13323766440425514,0.21566351007322482,0.702523023773926,0.3364814824859826,0.08851850476118502,0.11609655874838273,1.0
0.1697379971198329,0.19194536022042608,0.27330334306352516,0.11412643773171027,0.29766216784938,0.37215384703566023,0.016513558547965747,0.16587705788624382,1.0
0.49809062911774443,0.06018160462298963,0.018949608002192742,0.06910268581926537,0.8269408741776146,0.0037039127284493657,0.06402947143585963,0.011262064644592038,1.0
0.07744062729354229,0.2480597146513185,0.09665556349563431,0.2846060252153384,0.5311758444895136,0.33977413323591166,0.0016120735900371332,0.307213005363252,1.0
0.43338336049888176,0.06509739444198304,0.30917495525411365,0.42774577089529286,0.2288371353787416,0.36751747236107235,0.15451552630154367,0.21723280355999572,1.0
0.6892546735323505,0.14461443145567973,0.32526373832804517,0.15919955891422982,0.7192921700173419,0.240293567545057,0.0735609363766365,0.1490493937641251,1.0
0.22234494405449315,0.031243357232145552,0.011933908039878994,0.17323932770359046,0.01713073303573792,0.06619510303271002,0.2465623290892954,0.2549128448460916,1.0
0.5170062705201678,0.1268612684519915,0.35600778284707824,0.2969152740142238,0.11342370757196388,0.057487464582213654,0.23565244515609854,0.0622598171191481,1.0
0.3551048911074303,0.3967097903714843,0.0016030418933357994,0.008289900948778461,0.8937761237374559,0.2338555336536662,0.04314939167629447,0.3230287919114737,1.0
0.6162662100893845,0.2144801652445501,0.24871681194430262,0.13659359575043817,0.04546772673480464,0.23782704355634576,0.10021676568893943,0.2389035767977267,1.0
0.5853716237898209,0.007264217565745624,0.23828550987429098,0.11564026984342612,0.7864996481134213,0.1014658026247314,0.20766184530004222,0.19927470243226011,1.0
0.2773165500414742,0.27104830543991765,0.2903078538861736,0.2834688976596934,0.6825800134662787,0.39336683039717507,0.14255261188627374,0.1852498986787911,1.0
0.008728914558849265,0.3184114225241514,0.20809202681839756,0.2039807151802826,0.08466476678045623,0.3558625686701589,0.1343024616137892,0.24572937535531933,1.0
0.10456190945770553,0.384619851816413,0.07137670472873237,0.09977099644974519,0.7730845745019425,0.3650330976567725,0.07213011855792248,0.16912831974293804,1.0
0.5134464331939809,0.3513462935243207,0.15162107801492208,0.2585097434247146,0.6675447694677614,0.29245439066111817,0.2662064442088689,0.20517617471094948,1.0
0.07323056776334264,0.36158931635121605,0.3462290157284113,0.3990487179091665,0.08987622944465655,0.08175894683257168,0.25282412413660166,0.008330434049500717,1.0
0.6854572435950957,0.1508578721422723,0.28772501347632945,0.44378554424402167,0.35516689933507406,0.1276529954398664,0.2069719838254039,0.20915617454929825,1.0
0.28639798433735797,0.2407099023470834,0.3741525478265979,0.23382012831329824,0.1770679626755682,0.15088239315320157,0.13399637408166035,0.04719912948943915,1.0
0.11401005038818843,0.27382482935747093,0.1357911016835611,0.4774491959279038,0.21923707082274668,0.03956980204192893,0.2561915514200877,0.3171729786904332,1.0
0.19467934981004148,0.0808352406581912,0.07430645394843487,0.26100615068325617,0.42157497712209385,0.1037759359418137,0.015358859776404972,0.17333688251746104,1.0
0.6715326433449258,0.2610076803010653,0.1982026226514474,0.05534603701480806,0.22719266149462855,0.11790957982981709,0.26003320788645967,0.31561588701526294,1.0
0.6311492974965068,0.39382744330030167,0.392946673241813,0.4764995663839907,0.06463992645259595,0.05511741437112208,0.10351861900185119,0.1990433714632061,1.0
0.0678845220938355,0.338318783120857,0.24670247163092363,0.2711822011511025,0.14878019103056203,0.10130218976007895,0.05450608849396774,0.3066959368061275,1.0
0.4089595020428527,0.29405177100785335,0.1184131451640103,0.18562631854413858,0.3643694679838804,0.30400598869761397,0.26260001580935316,0.07445286990505141,1.0
0.6590771997166692,0.04826213497747456,0.3584488329694522,0.05019782282490465,0.23808583003617997,0.3385914144271828,0.06102730459766973,0.14888445527158914,1.0
0.31490150996088834,0.09810358920928386,0.2840980805343946,0.4256673247011019,0.7871176258700147,0.1357288582946244,0.18048913405785694,0.08942630539163453,1.0
