param,multiplier,task,auc,value
c_w_m,2.0,wake_vs_anxiety,1.0,0.34
c_w_m,2.0,wake_vs_nonwake,1.0,0.34
c_w_m,2.0,integrated_vs_low,1.0,0.34
c_w_b,0.0,wake_vs_deep_sleep,1.0,0.0
c_w_b,0.0,wake_vs_reflex,1.0,0.0
c_w_b,0.0,wake_vs_anxiety,1.0,0.0
c_w_b,0.0,wake_vs_nonwake,1.0,0.0
c_w_b,0.0,integrated_vs_low,1.0,0.0
c_w_b,0.25,wake_vs_deep_sleep,1.0,0.045
c_w_b,0.25,wake_vs_reflex,1.0,0.045
c_w_b,0.25,wake_vs_anxiety,1.0,0.045
c_w_b,0.25,wake_vs_nonwake,1.0,0.045
c_w_b,0.25,integrated_vs_low,1.0,0.045
c_w_b,0.5,wake_vs_deep_sleep,1.0,0.09
c_w_b,0.5,wake_vs_reflex,1.0,0.09
c_w_b,0.5,wake_vs_anxiety,1.0,0.09
c_w_b,0.5,wake_vs_nonwake,1.0,0.09
c_w_b,0.5,integrated_vs_low,1.0,0.09
c_w_b,0.75,wake_vs_deep_sleep,1.0,0.135
c_w_b,0.75,wake_vs_reflex,1.0,0.135
c_w_b,0.75,wake_vs_anxiety,1.0,0.135
c_w_b,0.75,wake_vs_nonwake,1.0,0.135
c_w_b,0.75,integrated_vs_low,1.0,0.135
c_w_b,1.0,wake_vs_deep_sleep,1.0,0.18
c_w_b,1.0,wake_vs_reflex,1.0,0.18
c_w_b,1.0,wake_vs_anxiety,1.0,0.18
c_w_b,1.0,wake_vs_nonwake,1.0,0.18
c_w_b,1.0,integrated_vs_low,1.0,0.18
c_w_b,1.25,wake_vs_deep_sleep,1.0,0.22499999999999998
c_w_b,1.25,wake_vs_reflex,1.0,0.22499999999999998
c_w_b,1.25,wake_vs_anxiety,1.0,0.22499999999999998
c_w_b,1.25,wake_vs_nonwake,1.0,0.22499999999999998
c_w_b,1.25,integrated_vs_low,1.0,0.22499999999999998
c_w_b,1.5,wake_vs_deep_sleep,1.0,0.27
c_w_b,1.5,wake_vs_reflex,1.0,0.27
c_w_b,1.5,wake_vs_anxiety,1.0,0.27
c_w_b,1.5,wake_vs_nonwake,1.0,0.27
c_w_b,1.5,integrated_vs_low,1.0,0.27
c_w_b,2.0,wake_vs_deep_sleep,1.0,0.36
c_w_b,2.0,wake_vs_reflex,1.0,0.36
c_w_b,2.0,wake_vs_anxiety,1.0,0.36
c_w_b,2.0,wake_vs_nonwake,1.0,0.36
c_w_b,2.0,integrated_vs_low,1.0,0.36
