variant,regime,run_id,C_idx_mean,Psi_eff_mean,B_mean,Q_mean,K_mean,R_mean,M_final,level_mode
full,anxiety,32,0.5679482338030813,0.3201931558306859,0.899392111716102,0.8816597301425326,0.08935393470692382,0.8131400811157263,1.735517777459978,4
full,anxiety,33,0.508935735998408,0.24023834250946213,0.7827699578899543,0.8722289164759879,0.023976331684385267,0.742229463759072,1.7121186567482738,3
full,anxiety,34,0.5282124732136283,0.2481095662476443,0.8719061422649683,0.87085677368908,0.07303920427569642,0.7976016042336764,1.7093796109889783,3
full,anxiety,35,0.5455679434339996,0.2813266187113777,0.8761054252691899,0.8782093031330104,0.02984350918216588,0.7900182094224808,1.725123200287294,3
full,anxiety,36,0.509404121986693,0.23136504104518232,0.806556462037669,0.8724670186583238,0.0269132025762399,0.7895366399090303,1.7081672267346126,3
full,anxiety,37,0.5585955571866916,0.30232181279340015,0.8913618511895288,0.881372063611204,0.06409214404780783,0.7812471870728304,1.7305277219426518,4
full,anxiety,38,0.5501008874863835,0.3204778465749384,0.8142168322848365,0.8714495995848881,0.028004751673904343,0.7973911220628568,1.7274090395109947,4
full,anxiety,39,0.5441033801788268,0.29019211794711763,0.8433198603952837,0.8799724660754574,0.036141589008896226,0.8065189035937853,1.729267401360032,3
full,reflex,0,0.27738856105919146,0.11406189289956678,0.8121006206480978,0.358515309809557,0.03802268474103818,0.8473729846603227,0.03824746115355242,2
full,reflex,1,0.2728638486820854,0.12438893273252546,0.7556280613402847,0.3631899890018145,0.024038711843912323,0.8316054514949279,0.03851192244777991,2
full,reflex,2,0.28023607418491764,0.11447327359271213,0.8294818367062881,0.3563080648690592,0.040697308537949076,0.8351664225062929,0.03803287245240789,2
full,reflex,3,0.2636640978000268,0.12193979537222331,0.7130388036775922,0.3611947344853123,0.015555400993724303,0.7871039736713032,0.03858455174194597,2
full,reflex,4,0.2894766803354952,0.11821001434198768,0.86493273285844,0.36188036187128886,0.01373892347373517,0.8222232268348479,0.038502655681398004,2
full,reflex,5,0.2839578262749667,0.12094710610048963,0.8263792854880906,0.3627628034187942,0.019578187288987272,0.7899655769525369,0.03837545034912486,2
full,reflex,6,0.24531206012198387,0.09050890482200004,0.7123955294999667,0.3418867884927206,0.022297182129537182,0.8206749759592047,0.03740515228366267,2
full,reflex,7,0.28024962549259164,0.09611684253996891,0.8804855164093097,0.3520812528264757,0.05432584562454598,0.8124002789106308,0.03808314588494533,2
full,reflex,8,0.2819346714743805,0.10802063896976677,0.8506300267507604,0.3600942749210442,0.04804935910722604,0.7841248892296949,0.03847838458626921,2
full,reflex,9,0.26814176599934403,0.09821490573692082,0.8132683724878244,0.34755511650872123,0.029436269487794226,0.755991207696896,0.03773330672614957,2
full,reflex,10,0.28372321655252475,0.11300970793091115,0.8497319927802678,0.3586735367478536,0.023699072335936808,0.778937954036537,0.03816700864213915,2
full,reflex,11,0.2829091405272501,0.13053127487209784,0.7873617666775407,0.3706568957937234,0.011940473300307609,0.8020098633302601,0.03934140903758219,2
full,reflex,12,0.28477886910670247,0.10929417000081014,0.8694171997791227,0.35480517072472595,0.06882335592922167,0.8282610111058126,0.037924570730641524,2
full,reflex,13,0.29033345754833884,0.13277288944774854,0.8247011822222086,0.3691967023534095,0.010677457640909672,0.8296337565690424,0.039166926115455275,2
full,reflex,14,0.27866439531023385,0.10817081157839871,0.8399972934894331,0.3533168732192952,0.04862065386558009,0.8331322302786056,0.037791539287619254,2
full,reflex,15,0.27966495919307877,0.11679030214628755,0.811572320885702,0.36391213671201483,0.01946079316213466,0.8345813559284949,0.03857052363834969,2
full,reflex,16,0.28986613025972074,0.12648565685282892,0.8371250649422342,0.3697640041642709,0.02985163553121233,0.8247297441157634,0.038916782408509216,2
full,reflex,17,0.2778770684883174,0.10049688989010583,0.8593370486820345,0.34950596379121057,0.04089770273924684,0.840899997583943,0.037650333230571195,2
full,reflex,18,0.2823130646107842,0.10364331639056104,0.864946153862709,0.359044465102669,0.0645816728506867,0.815319951692144,0.03866826147145721,2
full,reflex,19,0.27890972987626583,0.10044960722246088,0.861096435254874,0.3530103682116353,0.04798725106878862,0.8132691503273942,0.03810506843473305,2
full,reflex,20,0.2853879026559901,0.10555854939827232,0.876057521170233,0.36002679885111993,0.05102001607902423,0.8426588517174137,0.03853076756503432,2
full,reflex,21,0.27424965293105213,0.11915316397437122,0.7801960796199066,0.35998770496576216,0.05573709377440455,0.8210527299116108,0.03835935726791844,2
